Time,t,t(hr),P,MC_100SCCM_D_Temperature_C,MC_100SCCM_D_Volumetric_Flow_CCM,MC_100SCCM_D_Mass_Flow_SCCM,MC_100SCCM_D_Mass_Flow_Setpoint_SCCM
2025-03-12T12:14:47.010,2025-03-12 12:14:47,0,14.76,22.72,99.36,100.56,100
2025-03-12T12:14:57.016,2025-03-12 12:14:57,0.002777778,14.76,22.74,98.2,99.4,100
2025-03-12T12:15:07.005,2025-03-12 12:15:07,0.005555556,14.75,22.77,99.11,100.27,100
2025-03-12T12:15:17.011,2025-03-12 12:15:17,0.008333333,14.75,22.8,99.18,100.31,100
2025-03-12T12:15:27.016,2025-03-12 12:15:27,0.011111111,14.75,22.82,99.17,100.3,100
2025-03-12T12:15:37.005,2025-03-12 12:15:37,0.013888889,14.75,22.85,97.58,98.69,100
2025-03-12T12:15:46.995,2025-03-12 12:15:46,0.016388889,14.75,22.87,99.1,100.19,100
2025-03-12T12:15:57.017,2025-03-12 12:15:57,0.019444444,14.75,22.9,99.26,100.34,100
2025-03-12T12:16:07.022,2025-03-12 12:16:07,0.022222222,14.75,22.93,99.33,100.4,100
2025-03-12T12:16:17.046,2025-03-12 12:16:17,0.025,14.75,22.96,98.41,99.5,100
2025-03-12T12:16:27.005,2025-03-12 12:16:27,0.027777778,14.75,22.98,98.39,99.43,100
2025-03-12T12:16:37.006,2025-03-12 12:16:37,0.030555556,14.74,23.01,99.35,100.35,100
2025-03-12T12:16:47.012,2025-03-12 12:16:47,0.033333333,14.74,23.04,99.08,100.07,100
2025-03-12T12:16:57.017,2025-03-12 12:16:57,0.036111111,14.74,23.06,98.02,98.99,100
2025-03-12T12:17:07.007,2025-03-12 12:17:07,0.038888889,14.74,23.09,98.67,99.64,100
2025-03-12T12:17:17.029,2025-03-12 12:17:17,0.041666667,14.73,23.12,99.57,100.48,100
2025-03-12T12:17:27.017,2025-03-12 12:17:27,0.044444445,14.74,23.14,99.42,100.37,100
2025-03-12T12:17:37.023,2025-03-12 12:17:37,0.047222222,14.74,23.17,99.18,100.13,100
2025-03-12T12:17:47.028,2025-03-12 12:17:47,0.05,14.74,23.19,99.32,100.26,100
2025-03-12T12:17:57.050,2025-03-12 12:17:57,0.052777778,14.74,23.22,99.16,100.09,100
2025-03-12T12:18:07.039,2025-03-12 12:18:07,0.055555556,14.74,23.25,99.39,100.27,100
2025-03-12T12:18:17.028,2025-03-12 12:18:17,0.058333333,14.74,23.27,99.29,100.16,100
2025-03-12T12:18:27.049,2025-03-12 12:18:27,0.061111111,14.74,23.3,99.47,100.34,100
2025-03-12T12:18:37.055,2025-03-12 12:18:37,0.063888889,14.74,23.32,99.41,100.27,100
2025-03-12T12:18:47.076,2025-03-12 12:18:47,0.066666667,14.74,23.35,99.41,100.27,100
2025-03-12T12:18:57.034,2025-03-12 12:18:57,0.069444444,14.74,23.37,99.53,100.37,100
2025-03-12T12:19:07.055,2025-03-12 12:19:07,0.072222222,14.74,23.39,99.53,100.36,100
2025-03-12T12:19:17.060,2025-03-12 12:19:17,0.075,14.74,23.41,99.45,100.3,100
2025-03-12T12:19:27.049,2025-03-12 12:19:27,0.077777778,14.74,23.43,97.8,98.63,100
2025-03-12T12:19:37.055,2025-03-12 12:19:37,0.080555556,14.74,23.46,99.31,100.14,100
2025-03-12T12:19:47.062,2025-03-12 12:19:47,0.083333333,14.74,23.48,99.46,100.27,100
2025-03-12T12:19:57.066,2025-03-12 12:19:57,0.086111111,14.74,23.51,99.6,100.39,100
2025-03-12T12:20:07.055,2025-03-12 12:20:07,0.088888889,14.74,23.53,99.45,100.26,100
2025-03-12T12:20:17.078,2025-03-12 12:20:17,0.091666667,14.74,23.55,98.85,99.66,100
2025-03-12T12:20:27.082,2025-03-12 12:20:27,0.094444445,14.74,23.57,99.64,100.41,100
2025-03-12T12:20:37.071,2025-03-12 12:20:37,0.097222222,14.74,23.6,99.5,100.28,100
2025-03-12T12:20:47.077,2025-03-12 12:20:47,0.1,14.74,23.62,99.67,100.42,100
2025-03-12T12:20:57.100,2025-03-12 12:20:57,0.102777778,14.74,23.64,99.55,100.31,100
2025-03-12T12:21:07.104,2025-03-12 12:21:07,0.105555556,14.74,23.66,99.48,100.27,100
2025-03-12T12:21:17.093,2025-03-12 12:21:17,0.108333333,14.74,23.68,99.51,100.27,100
2025-03-12T12:21:27.099,2025-03-12 12:21:27,0.111111111,14.74,23.71,99.55,100.3,100
2025-03-12T12:21:37.089,2025-03-12 12:21:37,0.113888889,14.74,23.73,99.55,100.27,100
2025-03-12T12:21:47.125,2025-03-12 12:21:47,0.116666667,14.73,23.75,99.68,100.37,100
2025-03-12T12:21:57.083,2025-03-12 12:21:57,0.119444444,14.73,23.77,99.81,100.48,100
2025-03-12T12:22:07.088,2025-03-12 12:22:07,0.122222222,14.74,23.79,99.64,100.34,100
2025-03-12T12:22:17.094,2025-03-12 12:22:17,0.125,14.74,23.82,99.62,100.31,100
2025-03-12T12:22:27.099,2025-03-12 12:22:27,0.127777778,14.74,23.84,99.63,100.31,100
2025-03-12T12:22:37.089,2025-03-12 12:22:37,0.130555556,14.74,23.86,99.17,99.88,100
2025-03-12T12:22:47.111,2025-03-12 12:22:47,0.133333333,14.74,23.88,99.71,100.37,100
2025-03-12T12:22:57.116,2025-03-12 12:22:57,0.136111111,14.74,23.9,99.71,100.36,100
2025-03-12T12:23:07.137,2025-03-12 12:23:07,0.138888889,14.74,23.93,99.68,100.33,100
2025-03-12T12:23:17.111,2025-03-12 12:23:17,0.141666667,14.74,23.95,99.59,100.23,100
2025-03-12T12:23:27.150,2025-03-12 12:23:27,0.144444445,14.74,23.97,99.86,100.49,100
2025-03-12T12:23:37.121,2025-03-12 12:23:37,0.147222222,14.74,23.99,99.66,100.29,100
2025-03-12T12:23:47.134,2025-03-12 12:23:47,0.15,14.74,24.01,99.65,100.27,100
2025-03-12T12:23:57.148,2025-03-12 12:23:57,0.152777778,14.74,24.03,99.42,100.03,100
2025-03-12T12:24:07.138,2025-03-12 12:24:07,0.155555556,14.74,24.06,99.92,100.53,100
2025-03-12T12:24:17.159,2025-03-12 12:24:17,0.158333333,14.74,24.08,99.78,100.38,100
2025-03-12T12:24:27.133,2025-03-12 12:24:27,0.161111111,14.74,24.1,99.78,100.37,100
2025-03-12T12:24:37.139,2025-03-12 12:24:37,0.163888889,14.74,24.12,98.15,98.73,100
2025-03-12T12:24:47.144,2025-03-12 12:24:47,0.166666667,14.74,24.14,99.86,100.43,100
2025-03-12T12:24:57.133,2025-03-12 12:24:57,0.169444444,14.73,24.16,99.82,100.39,100
2025-03-12T12:25:07.122,2025-03-12 12:25:07,0.172222222,14.74,24.18,99.62,100.18,100
2025-03-12T12:25:17.144,2025-03-12 12:25:17,0.175,14.74,24.2,98.74,99.33,100
2025-03-12T12:25:27.151,2025-03-12 12:25:27,0.177777778,14.74,24.22,99.78,100.34,100
2025-03-12T12:25:37.154,2025-03-12 12:25:37,0.180555556,14.74,24.23,98.84,99.39,100
2025-03-12T12:25:47.176,2025-03-12 12:25:47,0.183333333,14.73,24.25,99.95,100.48,100
2025-03-12T12:25:57.150,2025-03-12 12:25:57,0.186111111,14.74,24.27,98.78,99.33,100
2025-03-12T12:26:07.171,2025-03-12 12:26:07,0.188888889,14.74,24.29,99.81,100.34,100
2025-03-12T12:26:17.176,2025-03-12 12:26:17,0.191666667,14.73,24.31,100.01,100.49,100
2025-03-12T12:26:27.166,2025-03-12 12:26:27,0.194444444,14.74,24.33,99.59,100.11,100
2025-03-12T12:26:37.171,2025-03-12 12:26:37,0.197222222,14.73,24.35,99.95,100.44,100
2025-03-12T12:26:47.177,2025-03-12 12:26:47,0.2,14.74,24.37,99.81,100.31,100
2025-03-12T12:26:57.182,2025-03-12 12:26:57,0.202777778,14.74,24.38,99.08,99.57,100
2025-03-12T12:27:07.172,2025-03-12 12:27:07,0.205555556,14.73,24.4,100.04,100.49,100
2025-03-12T12:27:17.193,2025-03-12 12:27:17,0.208333333,14.73,24.42,99.68,100.14,100
2025-03-12T12:27:27.198,2025-03-12 12:27:27,0.211111111,14.74,24.44,98.3,98.79,100
2025-03-12T12:27:37.203,2025-03-12 12:27:37,0.213888889,14.74,24.46,99.89,100.37,100
2025-03-12T12:27:47.209,2025-03-12 12:27:47,0.216666667,14.74,24.48,98.47,98.95,100
2025-03-12T12:27:57.214,2025-03-12 12:27:57,0.219444444,14.73,24.5,99.88,100.33,100
2025-03-12T12:28:07.220,2025-03-12 12:28:07,0.222222222,14.73,24.51,99.92,100.35,100
2025-03-12T12:28:17.209,2025-03-12 12:28:17,0.225,14.74,24.53,99.82,100.27,100
2025-03-12T12:28:27.214,2025-03-12 12:28:27,0.227777778,14.73,24.55,100.09,100.5,100
2025-03-12T12:28:37.204,2025-03-12 12:28:37,0.230555556,14.74,24.56,98.87,99.33,100
2025-03-12T12:28:47.209,2025-03-12 12:28:47,0.233333333,14.73,24.58,99.85,100.28,100
2025-03-12T12:28:57.199,2025-03-12 12:28:57,0.236111111,14.74,24.6,99.86,100.28,100
2025-03-12T12:29:07.204,2025-03-12 12:29:07,0.238888889,14.74,24.62,99.71,100.13,100
2025-03-12T12:29:17.209,2025-03-12 12:29:17,0.241666667,14.74,24.64,99.14,99.55,100
2025-03-12T12:29:27.231,2025-03-12 12:29:27,0.244444444,14.74,24.66,98.37,98.77,100
2025-03-12T12:29:37.205,2025-03-12 12:29:37,0.247222222,14.74,24.68,99.52,99.92,100
2025-03-12T12:29:47.210,2025-03-12 12:29:47,0.25,14.74,24.69,99.89,100.26,100
