time/h,<Ewe>/V
0.902792088,3.231216669
0.905569866,3.230920076
0.908347644,3.231472731
0.911125421,3.232583523
0.913903199,3.233044147
0.916680977,3.232722521
0.919458755,3.232619524
0.922236532,3.232683897
0.92501431,3.232427359
0.927792088,3.231801748
0.930569865,3.2319839
0.933347643,3.23318696
0.936125421,3.233141661
0.938903199,3.23283577
0.941680976,3.232665777
0.944458754,3.232695103
0.947236532,3.232787848
0.950014309,3.232702494
0.952792087,3.233399868
0.955569865,3.233446121
0.958347642,3.233311415
0.96112542,3.232748747
0.963903198,3.233597279
0.966680976,3.234130383
0.969458753,3.234251261
0.972236531,3.234042883
0.975014309,3.233717918
0.977792086,3.23376298
0.980569864,3.233344793
0.983347642,3.233616352
0.98612542,3.234667301
0.988903197,3.234295368
0.991680975,3.233143806
0.994458753,3.231685638
0.99723653,3.231796026
1.000014308,3.231252193
1.002792086,3.230876446
1.005569863,3.230463266
1.008347641,3.231625319
1.011125419,3.231873751
1.013903197,3.231790066
1.016680974,3.231367826
1.019458752,3.231305838
1.02223653,3.231363773
1.025014307,3.231948614
1.027792085,3.232234478
1.030569863,3.232665539
1.033347641,3.232424498
1.036125418,3.231913805
1.038903196,3.231372595
1.041680974,3.232070208
1.044458751,3.232846022
1.047236529,3.233449697
1.050014307,3.233474493
1.052792085,3.233988523
1.055569862,3.234587193
1.05834764,3.23443985
1.061125418,3.233502626
1.063903195,3.232762337
1.066680973,3.232547045
1.069458751,3.232539415
1.072236528,3.23225832
1.075014306,3.232306004
1.077792084,3.232260466
1.080569862,3.232332706
1.083347639,3.232024193
1.086125417,3.231942892
1.088903195,3.231866598
1.091680972,3.231774569
1.09445875,3.231329441
1.097236528,3.231158257
1.100014306,3.231249809
1.102792083,3.231393576
1.105569861,3.23126483
1.108347639,3.230900526
1.111125416,3.230202675
1.113903194,3.230274439
1.116680972,3.23084569
1.119458749,3.231301785
1.122236527,3.231976748
1.125014305,3.231976986
1.127792083,3.231970072
1.13056986,3.232648134
1.133347638,3.232918262
1.136125416,3.233194828
1.138903193,3.233272076
1.141680971,3.233483553
1.144458749,3.232841253
1.147236527,3.232669592
1.150014304,3.232310057
1.152792082,3.232943296
1.15556986,3.233273029
1.158347638,3.234093666
1.161125415,3.234116316
1.163903193,3.235081911
1.166680971,3.235307932
1.169458749,3.234929562
1.172236526,3.234474182
1.175014304,3.234320164
1.177792082,3.234256268
1.18056986,3.234619856
1.183347637,3.234302521
1.186125415,3.233822346
1.188903193,3.233036041
1.191680971,3.232426643
1.194458748,3.231485128
1.197236526,3.230277061
1.200014304,3.229582548
1.202792082,3.229578257
1.205569859,3.228992701
1.208347637,3.229438543
1.211125415,3.22990036
1.213903193,3.229789495
1.21668097,3.229807377
1.219458748,3.229845047
1.222236526,3.22953105
1.225014304,3.229150772
1.227792081,3.228401423
1.230569859,3.228835821
1.233347637,3.228781939
1.236125415,3.228248119
1.238903192,3.227651119
1.24168097,3.228414536
1.244458748,3.228054762
1.247236525,3.228353262
1.250014303,3.228728294
1.252792081,3.229152679
1.255569859,3.228462696
1.258347636,3.228572369
1.261125414,3.22821784
1.263903192,3.228376389
1.26668097,3.228043795
1.269458747,3.227386475
1.272236525,3.226883888
1.275014303,3.226574898
1.277792081,3.225922823
1.280569858,3.225175142
1.283347636,3.22412324
1.286125414,3.22440362
1.288903192,3.224990129
1.291680969,3.22507453
1.294458747,3.224782944
1.297236525,3.224952221
1.300014303,3.225197315
1.30279208,3.225392342
1.305569858,3.224976063
1.308347636,3.224459171
1.311125414,3.224306107
1.313903191,3.22368145
1.316680969,3.223351479
1.319458747,3.223783255
1.322236525,3.224378586
1.325014302,3.224871159
1.32779208,3.224499702
1.330569858,3.224299908
1.333347636,3.224084139
1.336125413,3.223605633
1.338903191,3.223469257
1.341680969,3.223780632
1.344458747,3.22375989
1.347236524,3.223144293
1.350014302,3.222868919
1.35279208,3.223548174
1.355569858,3.224285364
1.358347635,3.224834442
1.361125413,3.224614143
1.363903191,3.224357367
1.366680968,3.22385788
1.369458746,3.224557638
1.372236524,3.224853039
1.375014302,3.225394249
1.377792079,3.22510767
1.380569857,3.224868774
1.383347635,3.224827051
1.386125413,3.225033522
1.38890319,3.224940062
1.391680968,3.225279808
1.394458746,3.224744081
1.397236524,3.224739552
1.400014301,3.224552393
1.402792079,3.225067616
1.405569857,3.224998951
1.408347635,3.225029469
1.411125412,3.224847317
1.41390319,3.224559069
1.416680968,3.224695444
1.419458746,3.22524786
1.422236523,3.225777864
1.425014301,3.226277828
1.427792079,3.226051092
1.430569857,3.226187706
1.433347634,3.226136923
1.436125412,3.225281954
1.43890319,3.223778248
1.441680968,3.223021984
1.444458745,3.222658634
1.447236523,3.222692966
1.450014301,3.222143173
1.452792079,3.222168207
1.455569856,3.222362518
1.458347634,3.222675323
1.461125412,3.221810341
1.46390319,3.222171307
1.466680967,3.222655058
1.469458745,3.222932577
1.472236523,3.223619699
1.475014301,3.224479437
1.477792078,3.22461772
1.480569856,3.223713875
1.483347634,3.222206354
1.486125411,3.22297883
1.488903189,3.223392963
1.491680967,3.222987413
1.494458745,3.222210646
1.497236522,3.223054886
1.5000143,3.223380804
1.502792078,3.222758293
1.505569856,3.221986294
1.508347633,3.222112656
1.511125411,3.222705364
1.513903189,3.22315073
1.516680967,3.22261858
1.519458744,3.222172976
1.522236522,3.222182274
1.5250143,3.22162199
1.527792078,3.22111392
1.530569855,3.221461296
1.533347633,3.221508265
1.536125411,3.221130133
1.538903189,3.220778227
1.541680966,3.221124411
1.544458744,3.221897602
1.547236522,3.22172451
1.5500143,3.221633911
1.552792077,3.222112417
1.555569855,3.222784996
1.558347633,3.222147226
1.561125411,3.221935511
1.563903188,3.222123623
1.566680966,3.223221302
1.569458744,3.223668575
1.572236522,3.223473787
1.575014299,3.223799467
1.577792077,3.223485947
1.580569855,3.222930431
1.583347633,3.221789598
1.58612541,3.222450972
1.588903188,3.223413229
1.591680966,3.223260164
1.594458744,3.223152637
1.597236521,3.223817587
1.600014299,3.224532366
1.602792077,3.225477219
1.605569854,3.225336313
1.608347632,3.225738525
1.61112541,3.226325035
1.613903188,3.225261927
1.616680965,3.224873304
1.619458743,3.225383282
1.622236521,3.22578454
1.625014299,3.225935459
1.627792076,3.22600174
1.630569854,3.22686553
1.633347632,3.226492643
1.63612541,3.226504087
1.638903187,3.226759434
1.641680965,3.227272272
1.644458743,3.227563858
1.647236521,3.226799488
1.650014298,3.225810766
1.652792076,3.225852966
1.655569854,3.226502895
