time/h,<Ewe>/V
0.375014324,3.200199127
0.377792102,3.202406883
0.380569879,3.19693923
0.383347657,3.195820332
0.386125435,3.19378233
0.388903212,3.193685055
0.39168099,3.192847729
0.394458768,3.19184804
0.397236546,3.191762686
0.400014323,3.190784216
0.402792101,3.191128969
0.405569879,3.191357613
0.408347656,3.192009449
0.411125434,3.193266153
0.413903212,3.193967581
0.416680989,3.192974806
0.419458767,3.194008589
0.422236545,3.194646597
0.425014323,3.195849419
0.4277921,3.196404457
0.430569878,3.197375059
0.433347656,3.197158575
0.436125433,3.196912289
0.438903211,3.198342562
0.441680989,3.198030472
0.444458767,3.196205378
0.447236544,3.197866678
0.450014322,3.196188927
0.4527921,3.196775675
0.455569877,3.197220802
0.458347655,3.198720217
0.461125433,3.199507236
0.463903211,3.20023942
0.466680988,3.200653315
0.469458766,3.201398611
0.472236544,3.201752663
0.475014321,3.203035355
0.477792099,3.203482628
0.480569877,3.203074217
0.483347654,3.202362299
0.486125432,3.201266766
0.48890321,3.201185703
0.491680988,3.202736616
0.494458765,3.20458293
0.497236543,3.204078436
0.500014321,3.20473671
0.502792098,3.20421648
0.505569876,3.203136683
0.508347654,3.203839064
0.511125432,3.204851151
0.513903209,3.205418825
0.516680987,3.205126762
0.519458765,3.20563364
0.522236542,3.206388235
0.52501432,3.207406759
0.527792098,3.207304239
0.530569875,3.206487417
0.533347653,3.205924749
0.536125431,3.204715014
0.538903209,3.206917048
0.541680986,3.207359076
0.544458764,3.207006454
0.547236542,3.20626688
0.550014319,3.206142187
0.552792097,3.203033924
0.555569875,3.200734854
0.558347653,3.202481747
0.56112543,3.203285456
0.563903208,3.203014374
0.566680986,3.201789379
0.569458763,3.199551344
0.572236541,3.20173645
0.575014319,3.204484701
0.577792097,3.20447135
0.580569874,3.204147816
0.583347652,3.205421448
0.58612543,3.208352327
0.588903207,3.20941329
0.591680985,3.210671902
0.594458763,3.21053648
0.59723654,3.210245848
0.600014318,3.208965063
0.602792096,3.209017992
0.605569874,3.208950043
0.608347651,3.208007336
0.611125429,3.207101107
0.613903207,3.208029747
0.616680984,3.207238436
0.619458762,3.207657576
0.62223654,3.208007336
0.625014318,3.208998203
0.627792095,3.211474895
0.630569873,3.21254015
0.633347651,3.212264061
0.636125428,3.210972071
0.638903206,3.21137166
0.641680984,3.211575985
0.644458761,3.210262299
0.647236539,3.209071398
0.650014317,3.210196257
0.652792095,3.21151042
0.655569872,3.211271048
0.65834765,3.211785793
0.661125428,3.214607
0.663903205,3.215170383
0.666680983,3.21557188
0.669458761,3.216309071
0.672236539,3.215997696
0.675014316,3.216346979
0.677792094,3.21648097
0.680569872,3.216561556
0.683347649,3.216787815
0.686125427,3.215835094
0.688903205,3.216083288
0.691680983,3.216760397
0.69445876,3.21742487
0.697236538,3.217016459
0.700014316,3.217278957
0.702792093,3.218961954
0.705569871,3.219718456
0.708347649,3.219442606
0.711125426,3.21863389
0.713903204,3.218795061
0.716680982,3.218672991
0.71945876,3.218646049
0.722236537,3.218916416
0.725014315,3.219721556
0.727792093,3.219265223
0.73056987,3.21664691
0.733347648,3.217683554
0.736125426,3.219002962
0.738903204,3.219004869
0.741680981,3.219737053
0.744458759,3.219167709
0.747236537,3.220872402
0.750014314,3.22188282
0.752792092,3.221173286
0.75556987,3.220714569
0.758347648,3.220101118
0.761125425,3.221997499
0.763903203,3.221025705
0.766680981,3.220225811
0.769458758,3.220139503
0.772236536,3.220207691
0.775014314,3.220306396
0.777792091,3.220179558
0.780569869,3.219852209
0.783347647,3.220196962
0.786125425,3.219118595
0.788903202,3.220112324
0.79168098,3.220918655
0.794458758,3.220926046
0.797236535,3.221635818
0.800014313,3.220690966
0.802792091,3.221040726
0.805569869,3.221186876
0.808347646,3.220068216
0.811125424,3.220956087
0.813903202,3.222024918
0.816680979,3.222552299
0.819458757,3.22249794
0.822236535,3.223289251
0.825014312,3.223971128
0.82779209,3.223005056
0.830569868,3.224046946
0.833347646,3.223992825
0.836125423,3.224237204
0.838903201,3.224179745
0.841680979,3.223326921
0.844458756,3.221969843
0.847236534,3.223039389
0.850014312,3.222580433
0.85279209,3.221721411
0.855569867,3.223920345
0.858347645,3.22470665
0.861125423,3.224563122
0.8639032,3.223511457
0.866680978,3.221217394
0.869458756,3.219029188
0.872236534,3.218219995
0.875014311,3.220019817
0.877792089,3.220624208
0.880569867,3.221836567
0.883347644,3.222416401
0.886125422,3.222600698
0.8889032,3.223418236
0.891680977,3.224804878
0.894458755,3.225366354
0.897236533,3.224885464
0.900014311,3.225072861
0.902792088,3.224735022
0.905569866,3.224416733
0.908347644,3.224437714
0.911125421,3.225383043
0.913903199,3.22462225
0.916680977,3.223253012
0.919458755,3.223572016
0.922236532,3.224341631
0.92501431,3.224422216
0.927792088,3.222928286
0.930569865,3.219588041
0.933347643,3.220269918
0.936125421,3.223514557
0.938903199,3.225338459
0.941680976,3.225930452
0.944458754,3.225971937
0.947236532,3.225513458
0.950014309,3.227108002
0.952792087,3.226917267
0.955569865,3.227294683
0.958347642,3.228089809
0.96112542,3.228270531
0.963903198,3.227794409
0.966680976,3.228563786
0.969458753,3.226926088
0.972236531,3.227319241
0.975014309,3.226870537
0.977792086,3.225786448
0.980569864,3.227290154
0.983347642,3.226412535
0.98612542,3.225500107
0.988903197,3.226952553
0.991680975,3.226810932
0.994458753,3.227402687
0.99723653,3.226519823
1.000014308,3.227436781
1.002792086,3.226390123
1.005569863,3.225435019
1.008347641,3.225556612
1.011125419,3.227426291
1.013903197,3.227255821
1.016680974,3.22647047
1.019458752,3.225803852
1.02223653,3.227157593
1.025014307,3.228048801
1.027792085,3.228129864
1.030569863,3.228378534
1.033347641,3.2297225
1.036125418,3.22891283
1.038903196,3.230248928
1.041680974,3.229466915
1.044458751,3.228295088
1.047236529,3.228722095
1.050014307,3.228191614
1.052792085,3.226655006
1.055569862,3.227668762
1.05834764,3.2275455
1.061125418,3.227287292
1.063903195,3.227766752
1.066680973,3.228790045
1.069458751,3.229487181
1.072236528,3.229869843
1.075014306,3.229558945
1.077792084,3.229049444
1.080569862,3.228620768
1.083347639,3.229944229
1.086125417,3.230823755
1.088903195,3.230667353
1.091680972,3.231155396
1.09445875,3.231879473
1.097236528,3.231548548
1.100014306,3.23204875
1.102792083,3.232343197
1.105569861,3.231579542
1.108347639,3.230220079
1.111125416,3.23072958
1.113903194,3.231725454
1.116680972,3.232249498
1.119458749,3.231894493
1.122236527,3.230300665
1.125014305,3.230042696
1.127792083,3.229616165
1.13056986,3.227941751
1.133347638,3.229032278
1.136125416,3.228295326
1.138903193,3.228469849
1.141680971,3.22765708
1.144458749,3.227911472
1.147236527,3.228814602
1.150014304,3.230028629
1.152792082,3.23064065
1.15556986,3.231021881
1.158347638,3.231579542
1.161125415,3.231195211
1.163903193,3.232256651
1.166680971,3.232901096
1.169458749,3.233116627
1.172236526,3.232400656
1.175014304,3.231202841
1.177792082,3.232038975
1.18056986,3.230318308
1.183347637,3.2309196
1.186125415,3.231646299
1.188903193,3.231649876
1.191680971,3.231134176
1.194458748,3.231477022
1.197236526,3.230550051
1.200014304,3.231661081
1.202792082,3.232013226
1.205569859,3.231748819
1.208347637,3.232035637
1.211125415,3.231126308
1.213903193,3.227409124
1.21668097,3.224798441
1.219458748,3.224844217
1.222236526,3.226946354
1.225014304,3.22884202
1.227792081,3.228352547
1.230569859,3.22811389
1.233347637,3.228358269
1.236125415,3.228292227
1.238903192,3.229238033
1.24168097,3.228831053
1.244458748,3.229931593
1.247236525,3.230600834
1.250014303,3.230972052
1.252792081,3.231195211
1.255569859,3.230618954
1.258347636,3.229442835
1.261125414,3.230966568
1.263903192,3.230704546
1.26668097,3.230432987
1.269458747,3.231575727
1.272236525,3.232073784
1.275014303,3.231206417
1.277792081,3.232013464
1.280569858,3.231254816
1.283347636,3.232080221
1.286125414,3.232818127
1.288903192,3.232408762
1.291680969,3.232932329
1.294458747,3.231497526
1.297236525,3.22977519
1.300014303,3.229711771
1.30279208,3.229376078
1.305569858,3.229636669
1.308347636,3.230865717
1.311125414,3.231214762
1.313903191,3.231550455
1.316680969,3.232075214
1.319458747,3.231801748
1.322236525,3.231687069
1.325014302,3.231725216
1.32779208,3.232249498
1.330569858,3.231973886
1.333347636,3.232687235
1.336125413,3.233407497
1.338903191,3.232837677
1.341680969,3.232703447
1.344458747,3.232097387
1.347236524,3.2321105
1.350014302,3.232073307
1.35279208,3.2317729
1.355569858,3.231747866
1.358347635,3.232391119
1.361125413,3.233530521
1.363903191,3.233822584
1.366680968,3.233911991
1.369458746,3.234932899
1.372236524,3.234214067
1.375014302,3.234231472
1.377792079,3.233809471
1.380569857,3.23425293
1.383347635,3.234029293
1.386125413,3.234727621
1.38890319,3.233160734
